,watch-title,y,watch-view-count,watch-time-text,content_watch-info-tag-list,watch7-headline,watch7-user-header,watch8-sentiment-actions,og:image,og:image:width,og:image:height,og:description,og:video:width,og:video:height,og:video:tag,channel_link_0,p
620,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,,1.653 visualizações,Transmitido ao vivo em 14 de ago. de 2019,Ciência e tecnologia,Kaggle Reading Group : An Open Source AutoML Benchmark | Kaggle,"Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","1.653 visualizações







78

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



79


2

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3",https://i.ytimg.com/vi/WlXhpXv9kDU/hqdefault.jpg,480.0,360.0,This week we're starting a new paper: An Open Source AutoML Benchmark by Gijsbers et al from the 2019 ICML Workshop on Automated Machine Learning. Paper: htt...,1280.0,720.0,reading group,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.262
632,BigQuery - End-to-End Machine Learning with TensorFlow on GCP from Google Cloud #6,,510 visualizações,Publicado em 12 de abr. de 2019,Educação,BigQuery - End-to-End Machine Learning with TensorFlow on GCP from Google Cloud #6,"Coursera














Carregando...
    







        Cancelar inscrição de Coursera?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição128 mil 











Carregando...
    









Carregando...
    













        Processando...","510 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/XGOvuWXq6Xc/maxresdefault.jpg,1280.0,720.0,"This video is part of an online course, End-to-End Machine Learning with Tensorflow from Google Cloud. Enroll today at https://www.coursera.org/learn/end-to-...",1280.0,720.0,Bigquery,/channel/UCZ50rYSkYQG31YDEJm9Di_g,0.288
639,"Getting Started with Automated Data Pipelines, Day 1: Versioning and GitHub | Kaggle",,7.900 visualizações,Transmitido ao vivo em 29 de jan. de 2019,Ciência e tecnologia,"Getting Started with Automated Data Pipelines, Day 1: Versioning and GitHub | Kaggle","Kaggle













Carregando...
    







        Cancelar inscrição de Kaggle?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição39 mil 











Carregando...
    









Carregando...
    













        Processando...","7.900 visualizações







169

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



170


3

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



4",https://i.ytimg.com/vi/Xi140XVOznM/maxresdefault.jpg,1280.0,720.0,"On the first livestream for the automating data pipelines event, we'll be talking about data versioning and how to connect a GitHub dataset to Kaggle. SUBSCR...",1280.0,720.0,CS,/channel/UCSNeZleDn9c74yQc-EKnVTA,0.327
646,Kaggle Meetup: Using News to Predict Stock Movements,,1.005 visualizações,Publicado em 21 de fev. de 2019,Ciência e tecnologia,Kaggle Meetup: Using News to Predict Stock Movements,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","1.005 visualizações







23

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



24


1

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2",https://i.ytimg.com/vi/Y5JEWl8yNGk/maxresdefault.jpg,1280.0,720.0,Kaggle page: https://www.kaggle.com/c/two-sigma-financial-news Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyzdbcc/ Slides: https://docs...,1280.0,720.0,yvr,/channel/UCJhW_16uxALr0X4olEW2p5A,0.306
649,Machine Learning in JavaScript (TensorFlow Dev Summit 2018),,105.053 visualizações,Publicado em 30 de mar. de 2018,Ciência e tecnologia,Machine Learning in JavaScript (TensorFlow Dev Summit 2018),"TensorFlow













Carregando...
    







        Cancelar inscrição de TensorFlow?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição180 mil 











Carregando...
    









Carregando...
    













        Processando...","105.053 visualizações







2.757

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



2.758


36

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



37",https://i.ytimg.com/vi/YB-kfeNIPCE/maxresdefault.jpg,1280.0,720.0,"Nikhil Thorat and Daniel Smilkov discuss TensorFlow.js, which is TensorFlow’s new machine learning framework for JavaScript developers. It supports building ...",1280.0,720.0,neural networks,/channel/UC0rqucBdTuFTjJiefW5t-IQ,0.262
652,"Masters In Artificial Intelligence, Machine Learning & Robotics | Prospect, Courses & Profiles",,17.865 visualizações,Publicado em 6 de dez. de 2018,Educação,"#mastersinartificialintelligence #GRE #MSinUS



    Masters In Artificial Intelligence, Machine Learning & Robotics | Prospect, Courses & Profiles","GREedge













Carregando...
    







        Cancelar inscrição de GREedge?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição45,7 mil 











Carregando...
    









Carregando...
    













        Processando...","17.865 visualizações







276

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



277


26

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



27",https://i.ytimg.com/vi/YFScYAFfJEw/maxresdefault.jpg,1280.0,720.0,"Why are Artificial Intelligence, Machine Learning or Robotics courses all the rage these days! Download ""Top 10 US Universities for Master's in ML, AI & Robo...",1280.0,720.0,masters in artificial intelligence germany,/channel/UCXngArkxAfWfAivApxlHpjA,0.307
673,UiPath DevCon 2019: Machine Learning and Robotic Process Automation,,8.432 visualizações,Publicado em 12 de fev. de 2019,Ciência e tecnologia,UiPath DevCon 2019: Machine Learning and Robotic Process Automation,"UiPath













Carregando...
    







        Cancelar inscrição de UiPath?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição27 mil 











Carregando...
    









Carregando...
    













        Processando...","8.432 visualizações







86

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



87


5

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



6",https://i.ytimg.com/vi/Z8AG_X7XODc/maxresdefault.jpg,1280.0,720.0,"P.D. Singh, VP of Artificial Intelligence (AI) at UiPath, offers a deep dive into the intricacies of embedding AI into Robotic Process Automation (RPA) workf...",1280.0,720.0,software bots,/channel/UCaCVGueKcvxnMjV1waiu5cA,0.26
679,Making a Difference with Data Science at UMBC,,205 visualizações,Publicado em 18 de nov. de 2019,Educação,Making a Difference with Data Science at UMBC,"UMBC Division of Professional Studies













Carregando...
    







        Cancelar inscrição de UMBC Division of Professional Studies?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição257 











Carregando...
    









Carregando...
    













        Processando...","205 visualizações







6

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



7


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/ZtcVehd0bA4/maxresdefault.jpg,1280.0,720.0,"Meet Udit Choudhary, UMBC graduate student, who wants to make a difference with data science. His CPT experience is allowing him the opportunity to gain valu...",1280.0,720.0,Curriculum Practical Training,/channel/UCLVsMMEHLDtrRaDaZrkiSNA,0.288
685,Kaggle Meetup: What's Cooking,,166 visualizações,Publicado em 21 de out. de 2018,Ciência e tecnologia,Kaggle Meetup: What's Cooking,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","166 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/_APGZMsYjDg/maxresdefault.jpg,1280.0,720.0,Meetup page: https://www.meetup.com/LearnDataScience/events/wdlntpyxnbxb/ Slides: https://docs.google.com/presentation/d/1EoFv6DoK4rxRDzPELbjsYQv1dltTbRcpIyX...,1280.0,720.0,meetup,/channel/UCJhW_16uxALr0X4olEW2p5A,0.5
695,Ethics and Bias in Artificial Intelligence - 18th Vienna Deep Learning Meetup,,1.428 visualizações,Transmitido ao vivo em 7 de mai. de 2018,Entretenimento,Ethics and Bias in Artificial Intelligence - 18th Vienna Deep Learning Meetup,"Vienna Deep Learning Meetup













Carregando...
    







        Cancelar inscrição de Vienna Deep Learning Meetup?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição233 











Carregando...
    









Carregando...
    













        Processando...","1.428 visualizações







19

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



20


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/_zwBCDmlvv8/maxresdefault.jpg,1280.0,720.0,The Vienna Deep Learning Meetup and the Centre for Informatics and Society of TU Wien jointly organized an evening of discussion on the topic of Ethics and B...,,,Ethics,/channel/UCAVBJhzHK-jleJbyYTDp8cA,0.333
700,"Dr. Rachael Tatman: Data Scientists at Kaggle, Computational Sociolinguistics",,9 visualizações,Publicado em 8 de out. de 2019,Ciência e tecnologia,"Dr. Rachael Tatman: Data Scientists at Kaggle, Computational Sociolinguistics","Brian Ray













Carregando...
    







        Cancelar inscrição de Brian Ray?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição12 











Carregando...
    









Carregando...
    













        Processando...","9 visualizações







0

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/aAPEwB--_SY/maxresdefault.jpg,1280.0,720.0,"This week’s episode may be our most cerebral to date, probably thanks to hosting our first University of Washington Husky, Ph.D. graduate. Dr. Rachael Tatman...",960.0,720.0,podcast,/channel/UCA9lMQ6k19vDtfIfo-NTqYA,0.268
705,Kaggle Meetup: CANSSI NCSC Ferry Delays,,124 visualizações,Publicado em 3 de out. de 2019,Ciência e tecnologia,Kaggle Meetup: CANSSI NCSC Ferry Delays,"Learn Data Science













Carregando...
    







        Cancelar inscrição de Learn Data Science?
      


Cancelar
Cancelar inscrição










        Processando...
    










Inscrever-seInscritoCancelar inscrição464 











Carregando...
    









Carregando...
    













        Processando...","124 visualizações







2

Gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



3


0

Não gostou deste vídeo?

      Faça login para que sua opinião seja levada em conta.
    
Fazer login



1",https://i.ytimg.com/vi/aOGnEHywIBc/maxresdefault.jpg,1280.0,720.0,Presenter: Matt Tourond Kaggle page: https://www.kaggle.com/c/canssi-ncsc-ferry-delays Meetup page: https://www.meetup.com/LearnDataScience/events/fbczqqyznb...,1280.0,720.0,machine learning,/channel/UCJhW_16uxALr0X4olEW2p5A,0.466
